Energy,Counts
-0.95610438,0
-0.94610538,0
-0.93610638,0
-0.92610738,0
-0.91610838,0
-0.90610938,0
-0.89611038,0
-0.88611138,0
-0.87611238,0
-0.86611338,0
-0.85611438,0
-0.84611538,0
-0.83611638,0
-0.82611738,0
-0.81611838,0
-0.80611938,0
-0.79612038,0
-0.78612138,0
-0.77612238,0
-0.76612338,0
-0.75612438,0
-0.74612538,0
-0.73612638,0
-0.72612738,0
-0.71612838,0
-0.70612938,0
-0.69613038,0
-0.68613138,0
-0.67613238,0
-0.66613338,0
-0.65613438,0
-0.64613538,0
-0.63613638,0
-0.62613738,0
-0.61613838,0
-0.60613938,0
-0.59614038,0
-0.58614138,0
-0.57614238,0
-0.56614338,0
-0.55614438,0
-0.54614538,0
-0.53614638,0
-0.52614738,0
-0.51614838,0
-0.50614938,0
-0.49615038,0
-0.48615138,0
-0.47615238,0
-0.46615338,0
-0.45615438,0
-0.44615538,0
-0.43615638,0
-0.42615738,0
-0.41615838,0
-0.40615938,0
-0.39616038,0
-0.38616138,0
-0.37616238,1
-0.36616338,0
-0.35616438,3
-0.34616538,1
-0.33616638,1
-0.32616738,0
-0.31616838,0
-0.30616938,1
-0.29617038,1
-0.28617138,0
-0.27617238,0
-0.26617338,1
-0.25617438,1
-0.24617538,1
-0.23617638,3
-0.22617738,1
-0.21617838,2
-0.20617938,2
-0.19618038,1
-0.18618138,1
-0.17618238,0
-0.16618338,1
-0.15618438,1
-0.14618538,3
-0.13618638,13
-0.12618738,57
-0.11618838,171
-0.10618938,524
-0.0961903800000001,1344
-0.08619138,3405
-0.0761923800000001,7593
-0.0661933800000001,15080
-0.05619438,27396
-0.0461953800000001,45371
-0.0361963800000001,67664
-0.02619738,91583
-0.0161983800000001,111546
-0.00619938000000005,123487
0.00379961999999995,123751
0.0137986199999999,111983
0.0237976199999999,92151
0.0337966199999999,68737
0.0437956199999999,46077
0.0537946199999999,28286
0.0637936199999999,15607
0.07379262,7863
0.0837916199999999,3539
0.0937906199999999,1453
0.10378962,543
0.11378862,182
0.12378762,59
0.13378662,15
0.14378562,7
0.15378462,3
0.16378362,0
0.17378262,0
0.18378162,1
0.19378062,0
0.20377962,0
0.21377862,0
0.22377762,0
0.23377662,0
0.24377562,1
0.25377462,1
0.26377362,0
0.27377262,0
0.28377162,-0.0287967493687892
0.29377062,1.00647820659489
0.30376962,0.0229672764435597
0.31376862,-0.408103997920136
0.32376762,-0.609403864632612
0.33376662,0.135484075089734
0.34376562,0.771838820587972
0.35376462,4.10404003680335
0.36376362,29.8844219218247
0.37376262,29.2542771156797
0.38376162,22.6911462148666
0.39376062,20.7129247567278
0.40375962,23.8437048615896
0.41375862,25.5734835319551
0.42375762,18.1548085500867
0.43375662,13.2324640697111
0.44375562,23.344258864869
0.45375462,22.2942225847804
0.46375362,22.338334137797
0.47375262,21.1682285262115
0.48375162,26.2011570978293
0.49375062,25.3718355366142
0.50374962,27.1645894808473
0.51374862,27.8310651779849
0.52374762,27.6540817955854
0.53374662,15.8305331678257
0.54374562,18.6893623289541
0.55374462,14.1274688857538
0.56374362,22.139281811566
0.57374262,16.5674601615205
0.58374162,15.4572233348837
0.59374062,14.6556908623585
0.60373962,10.7722398114573
0.61373862,21.6109549247596
0.62373762,19.7807922313935
0.63373662,19.1013811206982
0.64373562,17.8355038834553
0.65373462,18.6193872812485
0.66373362,16.0234159758057
0.67373262,14.2469631260368
0.68373162,18.0880673416949
0.69373062,19.7543347812441
0.70372962,22.5510159179268
0.71372862,16.8091887907039
0.72372762,27.1673427257262
0.73372662,11.8882237893739
0.74372562,17.5435382465655
0.75372462,12.9130206307614
0.76372362,17.1254593113415
0.77372262,17.9911387893277
0.78372162,10.750512382484
0.79372062,19.9212591706352
0.80371962,10.9917825328559
0.81371862,14.7828550167773
0.82371762,12.1006883772458
0.83371662,15.1703198516561
0.84371562,14.0446511564607
0.85371462,11.4893241977183
0.86371362,18.7837785527749
0.87371262,21.9255138477086
0.88371162,18.5296167431954
0.89371062,22.3300277434633
0.90370962,13.4646110916982
0.91370862,13.0895923544999
0.92370762,17.6917648303986
0.93370662,17.2297490314174
0.94370562,23.2624133936771
0.95370462,23.6779462588709
0.96370362,16.6953029064072
0.97370262,13.6728695403441
0.98370162,13.8377723695069
0.99370062,19.8429165502551
1.00369962,16.6494361038956
1.01369862,14.1552562183878
1.02369762,24.4734436976841
1.03369662,27.8978840360904
1.04369562,20.58845893606
1.05369462,28.4406244256139
1.06369362,18.5003260422019
1.07369262,20.7782555509116
1.08369162,22.1864119672799
1.09369062,19.0480545513548
1.10368962,19.369803731771
1.11368862,18.5024074303827
1.12368762,11.9566878899479
1.13368662,19.3784173807136
1.14368562,20.9789629075495
1.15368462,19.4557676363003
1.16368362,28.9252986611102
1.17368262,29.0942391659011
1.18368162,23.1480976537663
1.19368062,30.3040864010783
1.20367962,26.6388414900344
1.21367862,29.2673742538271
1.22367762,37.0280038364943
1.23367662,36.2318835609723
1.24367562,39.738925756273
1.25367462,48.2491425614619
1.26367362,48.0455992901548
1.27367262,46.0639438702566
1.28367162,46.5112403679764
1.29367062,55.9767073103171
1.30366962,67.6404132251405
1.31366862,64.3305558375501
1.32366762,68.1901457947984
1.33366662,91.4267206309168
1.34366562,104.928082642754
1.35366462,130.42895256617
1.36366362,199.96389177916
1.37366262,328.956445776018
1.38366162,532.568038984038
1.39366062,841.548212833252
1.40365962,1366.59033608792
1.41365862,2160.91925042786
1.42365762,3351.97226675537
1.43365662,4811.71656993788
1.44365562,6423.76915170319
1.45365462,8062.12046245409
1.46365362,9653.40964560681
1.47365262,10961.2818264616
1.48365162,11725.627933828
1.49365062,11753.3446024582
1.50364962,10970.3402972202
1.51364862,9761.90179967631
1.52364762,8163.44834174521
1.53364662,6453.54353642194
1.54364562,4797.18470999681
1.55364462,3530.10638460199
1.56364362,2392.96539768075
1.57364262,1550.27983894996
1.58364162,976.332030168065
1.59364062,566.7212190756
1.60363962,314.057838979656
1.61363862,198.634452381981
1.62363762,109.817303037204
1.63363662,61.3522540407903
1.64363562,43.8886819298045
1.65363462,34.2343728586394
1.66363362,15.2496511280865
1.67363262,7.63242915444214
1.68363162,15.0706314584886
1.69363062,10.9375409435465
1.70362962,11.8946226673249
1.71362862,12.2675664255294
1.72362762,14.4658957474664
1.73362662,15.16372071166
1.74362562,7.77105079696297
1.75362462,10.7281464423516
1.76362362,11.8734087181046
1.77362262,11.7397801386287
1.78362162,4.9890781648863
1.79362062,9.99713371295499
1.80361962,9.17893613487299
1.81361862,10.7680110616164
1.82361762,8.03460437637425
1.83361662,9.92024388859874
1.84361562,9.59024313561049
1.85361462,4.37520379077808
1.86361362,9.03224200575509
1.87361262,8.05785772453808
1.88361162,10.7577016187803
1.89361062,7.63064903063234
1.90360962,3.61194358787475
1.91360862,4.88628951284651
1.92360762,6.73141270241161
1.93360662,6.42430981641114
1.94360562,4.8517433674258
1.95360462,6.17109180525683
1.96360362,3.27761492839324
1.97360262,6.72542105525033
1.98360162,5.89925759841869
1.99360062,6.70052404328093
2.00359962,5.08274905615446
2.01359862,5.95574546290699
2.02359762,5.91634709228857
2.03359662,6.25551506269475
2.04359562,7.65650926576307
2.05359462,9.28407218179685
2.06359362,4.37869163650196
2.07359262,1.93441190657867
2.08359162,3.28324251170868
2.09359062,8.06016537653153
2.10358962,6.49771012686806
2.11358862,4.0849147961662
2.12358762,4.51104243983391
2.13358662,2.98563975652269
2.14358562,4.28885286712703
2.15358462,7.69028292292807
2.16358362,6.39007988177338
2.17358262,7.32913819147701
2.18358162,7.80722488728851
2.19358062,7.10133924871679
2.20357962,7.96111750373895
2.21357862,8.99982979728653
2.22357762,7.40198751918086
2.23357662,10.577132031974
2.24357562,11.6209018418459
2.25357462,15.1763113932689
2.26357362,11.7857996003788
2.27357262,15.4247943682158
2.28357162,12.5898448637525
2.29357062,12.1725295157475
2.30356962,18.3708885703465
2.31356862,18.9614348640038
2.32356762,19.3014425682507
2.33356662,17.3047545329674
2.34356562,17.356213733022
2.35356462,15.1452857374369
2.36356362,10.3453449205118
2.37356262,10.0622201401508
2.38356162,10.5990594548981
2.39356062,6.22994977075268
2.40355962,4.67747098216354
2.41355862,6.38464263146975
2.42355762,7.85891140092432
2.43355662,10.858702725591
2.44355562,9.86883269455366
2.45355462,7.82853512908262
2.46355362,8.10613219946769
2.47355262,12.2276619006639
2.48355162,8.06640768680932
2.49355062,8.08103491518087
2.50354962,9.43611320466631
2.51354862,13.4405670130293
2.52354762,15.8432290728711
2.53354662,20.8077722715571
2.54354562,26.9582412495688
2.55354462,37.3207124632861
2.56354362,47.413997661988
2.57354262,45.248559640567
2.58354162,58.1383907224032
2.59354062,73.2918159074073
2.60353962,76.3259065531727
2.61353862,85.4440251316105
2.62353762,87.9659752651279
2.63353662,83.5083846751143
2.64353562,75.574879475169
2.65353462,60.7992202645796
2.66353362,57.5679351489479
2.67353262,50.1547285166079
2.68353162,38.3586797360457
2.69353062,33.3612522972169
2.70352962,28.7432540628856
2.71352862,23.0281467729695
2.72352762,19.7242019459559
2.73352662,19.1839334507989
2.74352562,17.9362122931201
2.75352462,14.191057949101
2.76352362,13.3537178295787
2.77352262,17.8209967220537
2.78352162,17.7882729112027
2.79352062,16.6596100197727
2.80351962,27.0580291528215
2.81351862,27.9828271380877
2.82351762,25.1034170246421
2.83351662,24.767539966407
2.84351562,26.8478075688672
2.85351462,31.5551072252363
2.86351362,30.7869348877048
2.87351262,32.6803683021899
2.88351162,32.5174723564302
2.89351062,37.4912918601829
2.90350962,40.5781260120118
2.91350862,47.3686341394605
2.92350762,47.2077195468412
2.93350662,40.8243597036045
2.94350562,40.6675244888117
2.95350462,38.8150181672263
2.96350362,31.5984410120243
2.97350262,42.8794377562499
2.98350162,37.7172008986597
2.99350062,37.9365864641122
3.00349962,28.9039936153806
3.01349862,26.04807406227
3.02349762,24.09387367984
3.03349662,20.1158531082571
3.04349562,13.8405365955449
3.05349462,11.4855424918556
3.06349362,9.38223199794975
3.07349262,5.6835640974568
3.08349162,7.29386499760748
3.09349062,7.36235333926838
3.10348962,5.44183861428942
3.11348862,5.2990512339199
3.12348762,5.43808584167122
3.13348662,5.39585227022156
3.14348562,9.41146726509398
3.15348462,8.94420889098258
3.16348362,8.79096610805627
3.17348262,10.8097478749047
3.18348162,7.77397578056621
3.19348062,14.2040844530414
3.20347962,15.0609266732611
3.21347862,11.2776497485215
3.22347762,20.6706191757058
3.23347662,28.6934392406363
3.24347562,31.1873411215022
3.25347462,43.2622573051978
3.26347362,59.4537047728828
3.27347262,63.382385058633
3.28347162,64.7573242907397
3.29347062,73.1153475704491
3.30346962,76.695560494821
3.31346862,77.6109986721418
3.32346762,81.4686041624089
3.33346662,69.9536650624322
3.34346562,58.1724447420541
3.35346462,55.0774201146484
3.36346362,47.7107840775833
3.37346262,38.9959114670222
3.38346162,37.232941287045
3.39346062,32.7157792561182
3.40345962,26.1106849205788
3.41345862,22.3056513374038
3.42345762,25.1469946053815
3.43345662,24.5564622125481
3.44345562,17.3229083521298
3.45345462,12.7460382558769
3.46345362,7.84352884745222
3.47345262,11.1960810404581
3.48345162,16.0109619355546
3.49345062,17.7139696530533
3.50344962,16.7182744565393
3.51344862,14.9124724143177
3.52344762,17.1474526350074
3.53344662,14.5001921913088
3.54344562,12.0443036792676
3.55344462,16.7967000502314
3.56344362,18.890631943274
3.57344262,19.6671766207654
3.58344162,22.7145424198959
3.59344062,21.8360052307073
3.60343962,20.272747447344
3.61343862,29.799809786441
3.62343762,32.0665219184166
3.63343662,28.4526232933921
3.64343562,41.4533476835806
3.65343462,44.64368450631
3.66343362,41.5838763789423
3.67343262,46.4708139166116
3.68343162,46.3160341620626
3.69343062,44.2673614013715
3.70342962,40.7557550677251
3.71342862,35.2752732797765
3.72342762,35.1560123440355
3.73342662,28.8826305123669
3.74342562,22.8143357654236
3.75342462,22.0390637045469
3.76342362,18.6361210410254
3.77342262,14.13187133662
3.78342162,11.2504382121765
3.79342062,8.70783373401813
3.80341962,7.33747181076218
3.81341862,8.68376590546928
3.82341762,6.12402756732068
3.83341662,4.13291372704277
3.84341562,2.71157855090305
3.85341462,8.37485587165644
3.86341362,9.09903729164407
3.87341262,5.64927347635948
3.88341162,5.795629837792
3.89341062,4.33758233610856
3.90340962,4.0038185540727
3.91340862,4.33686208406016
3.92340762,6.73236217397399
3.93340662,6.77982311933018
3.94340562,6.31208417170844
3.95340462,6.57896326456882
3.96340362,9.19287448753645
3.97340262,10.9365651747521
3.98340162,8.81411250439489
3.99340062,7.54843906037787
4.00339962,12.5295922161151
4.01339862,16.3565971607626
4.02339762,12.858598256206
4.03339662,8.48156878150718
4.04339562,6.09817570114653
4.05339462,7.60305092112662
4.06339362,7.23066116556842
4.07339262,6.16793942586744
4.08339162,7.02347026630537
4.09339062,6.58664865589591
4.10338962,7.84919902206179
4.11338862,11.2540780525285
4.12338762,12.8521402889547
4.13338662,7.55152284319668
4.14338562,6.25283542472282
4.15338462,5.5098833105331
4.16338362,5.3275911114067
4.17338262,6.8393724910838
4.18338162,11.2777750653688
4.19338062,9.11816677590944
4.20337962,6.92080157115111
4.21337862,8.73532369322104
4.22337762,8.13514333460156
4.23337662,8.71905046121301
4.24337562,7.28796550614549
4.25337462,7.45204797609562
4.26337362,7.17964412672946
4.27337262,5.30014109994378
4.28337162,7.76956154347875
4.29337062,9.09203489584947
4.30336962,7.77431268450194
4.31336862,9.07613310170457
4.32336762,8.85241800244552
4.33336662,5.34557239444431
4.34336562,7.4179347029672
4.35336462,7.22011501437171
4.36336362,10.514402169601
4.37336262,7.75999013753582
4.38336162,8.0742487187584
4.39336062,8.75789588431534
4.40335962,8.81751597890569
4.41335862,11.0923365576768
4.42335762,14.2417678307253
4.43335662,11.0661503603249
4.44335562,11.7599269756634
4.45335462,11.4615679497179
4.46335362,12.9859527039186
4.47335262,15.730121414584
4.48335162,14.8573958156407
4.49335062,22.7258843423765
4.50334962,18.9979950590793
4.51334862,16.2720872633525
4.52334762,14.8135648885539
4.53334662,16.6299376931047
4.54334562,20.1160075974471
4.55334462,15.6643606258497
4.56334362,9.81780513553855
4.57334262,11.3685061192019
4.58334162,11.4887765362679
4.59334062,17.523238463114
4.60333962,16.2690344147514
4.61333862,19.5330740660884
4.62333762,19.6619572936516
4.63333662,15.9060846905341
4.64333562,19.8536401190057
4.65333462,20.187209176697
4.66333362,21.8176408163462
4.67333262,25.0270595820155
4.68333162,31.3743718716574
4.69333062,26.6558278460676
4.70332962,35.5302109018565
4.71332862,41.4179233217791
4.72332762,57.3720128916135
4.73332662,54.9471382609964
4.74332562,54.4865339217506
4.75332462,53.9660047700153
4.76332362,62.4791851003153
4.77332262,63.3957331406324
4.78332162,72.8380710485522
4.79332062,73.988713165363
4.80331962,92.2733545375031
4.81331862,85.7283662992811
4.82331762,94.3848760781141
4.83331662,86.6208280178776
4.84331562,79.7313389429365
4.85331462,85.27908992527
4.86331362,79.2287313003831
4.87331262,95.4938359198651
4.88331162,96.969653917522
4.89331062,94.3451309791986
4.90330962,92.768088367878
4.91330862,91.2389314751751
4.92330762,91.0217908536203
4.93330662,82.4703195938262
4.94330562,78.2961908751762
4.95330462,67.1114594561756
4.96330362,76.8877568390383
4.97330262,91.8171977515401
4.98330162,67.8715575646532
4.99330062,62.3439448639722
5.00329962,67.0848061897022
5.01329862,60.0732096633136
5.02329762,51.3419015692865
5.03329662,46.3023137744523
5.04329562,44.9901068058994
5.05329462,44.5971575544445
5.06329362,43.6660562380865
5.07329262,31.4164244716433
5.08329162,41.504403993708
5.09329062,39.2756571014675
5.10328962,30.2510219397346
5.11328862,27.8606323210652
5.12328762,30.5078709109508
5.13328662,33.1320371622781
5.14328562,33.177956200028
5.15328462,28.2238387840695
5.16328362,28.8608533887987
5.17328262,28.4396861098294
5.18328162,30.1476776180326
5.19328062,33.1950985311231
5.20327962,30.901638992234
5.21327862,34.1964486180988
5.22327762,31.7544977587655
5.23327662,25.8597426184726
5.24327562,31.1161663338525
5.25327462,29.8637575563694
5.26327362,34.3993515234671
5.27327262,30.8614090126419
5.28327162,35.0944278934142
5.29327062,30.7534002361122
5.30326962,30.8742359638574
5.31326862,35.0949085167874
5.32326762,36.7175741161727
5.33326662,37.0055739333635
5.34326562,41.8273744369267
5.35326462,65.0342479411556
5.36326362,71.4329456230028
5.37326262,59.3999815791416
5.38326162,71.4135311700306
5.39326062,77.3039604745015
5.40325962,76.7449559321255
5.41325862,79.8004145233157
5.42325762,88.0116676580718
5.43325662,95.658919697631
5.44325562,103.565233306877
5.45325462,115.352370726257
5.46325362,109.892965626257
5.47325262,130.800837402094
5.48325162,147.05334644075
5.49325062,155.328039812112
5.50324962,147.406646744164
5.51324862,153.538076440393
5.52324762,166.584644278357
5.53324662,188.6104386375
5.54324562,203.473067270462
5.55324462,228.030373321034
5.56324362,228.112722209096
5.57324262,243.11246471169
5.58324162,254.932077716735
5.59324062,285.119413253671
5.60323962,301.931184423921
5.61323862,306.378247649107
5.62323762,313.182898737904
5.63323662,334.904348129199
5.64323562,348.115272083616
5.65323462,355.412948524066
5.66323362,346.473293672368
5.67323262,332.870062397306
5.68323162,347.195046329261
5.69323062,350.662078118913
5.70322962,335.780930077591
5.71322862,376.358816485773
5.72322762,380.184830181039
5.73322662,351.768570334243
5.74322562,358.404435832228
5.75322462,366.952691543193
5.76322362,352.14277456485
5.77322262,360.903356742494
5.78322162,348.564530724575
5.79322062,331.485402471968
5.80321962,331.302396734782
5.81321862,315.417556013044
5.82321762,301.620318503555
5.83321662,305.851426992777
5.84321562,307.552290940389
5.85321462,296.593582272748
5.86321362,266.229437464814
5.87321262,276.313488949952
5.88321162,279.457880108802
5.89321062,246.792699918514
5.90320962,236.832716166471
5.91320862,240.541669620463
5.92320762,220.483621632153
5.93320662,195.020463590834
5.94320562,189.093518428137
5.95320462,178.674840151514
5.96320362,148.186806133636
5.97320262,161.825619078108
5.98320162,147.457803775013
5.99320062,111.13880180521
6.00319962,110.556286844839
6.01319862,119.054018139886
6.02319762,106.659845336065
6.03319662,92.0567327063385
6.04319562,90.3212664555649
6.05319462,91.6057618319451
6.06319362,92.0690171566672
6.07319262,94.3090187522582
6.08319162,89.4595327827731
6.09319062,75.0193787110046
6.10318962,70.6218592943937
6.11318862,74.0698710218815
6.12318762,76.5045271507736
6.13318662,73.1937756779208
6.14318562,73.7808508417359
6.15318462,70.7235044786182
6.16318362,68.403737191626
6.17318262,71.3408956392136
6.18318162,77.8635590408231
6.19318062,71.3459095914385
6.20317962,69.5424752327788
6.21317862,68.5100398121122
6.22317762,66.1719651105621
6.23317662,61.4685434407657
6.24317562,70.1871032087854
6.25317462,80.6262195070233
6.26317362,86.6378289418794
6.27317262,96.7631364472611
6.28317162,109.606380991339
6.29317062,133.109903915148
6.30316962,141.782441749828
6.31316862,158.942759097531
6.32316762,178.373900163112
6.33316662,208.059184026979
6.34316562,224.894051150068
6.35316462,239.406179620867
6.36316362,260.25682928188
6.37316262,287.639250081309
6.38316162,279.195317614906
6.39316062,281.094282661536
6.40315962,269.391312289995
6.41315862,250.592399317992
6.42315762,258.120953191914
6.43315662,245.506678340912
6.44315562,235.628608765327
6.45315462,214.20852648619
6.46315362,191.691899831603
6.47315262,159.830728686544
6.48315162,145.768337363243
6.49315062,134.878127864209
6.50314962,127.114399548844
6.51314862,120.023421323975
6.52314762,97.5541836665411
6.53314662,87.4885139962656
6.54314562,91.5972674323074
6.55314462,84.4897885867966
6.56314362,81.5935356721078
6.57314262,83.4689615920425
6.58314162,78.6224879719652
6.59314062,80.3916864344476
6.60313962,81.7281842649126
6.61313862,95.3806825656734
6.62313762,104.424231215273
6.63313662,98.0789537107609
6.64313562,88.9081172888469
6.65313462,91.4307539657885
6.66313362,102.952434611483
6.67313262,110.263995104463
6.68313162,105.007200641734
6.69313062,108.98151737328
6.70312962,109.739595102512
6.71312862,102.019922139981
6.72312762,114.32478734623
6.73312662,107.953137890203
6.74312562,109.837457316966
6.75312462,120.750212436666
6.76312362,115.210128907721
6.77312262,116.210655928506
6.78312162,115.808658467083
6.79312062,119.595006776221
6.80311962,115.720156010021
6.81311862,121.840933669549
6.82311762,133.0552010473
6.83311662,128.131638967119
6.84311562,113.646668841063
6.85311462,120.640790939451
6.86311362,121.847686243208
6.87311262,123.076108104435
6.88311162,135.594334333642
6.89311062,123.405021665471
6.90310962,114.960776254476
6.91310862,127.49390664495
6.92310762,139.636364261928
6.93310662,131.142027181532
6.94310562,119.682904917669
6.95310462,128.909136968648
6.96310362,139.194025568477
6.97310262,134.950160636181
6.98310162,136.950837230219
6.99310062,140.002370103549
7.00309962,152.315941254987
7.01309862,147.419311956587
7.02309762,148.123938117982
7.03309662,161.558906709416
7.04309562,158.142220674487
7.05309462,148.617708959184
7.06309362,168.30739717042
7.07309262,175.285937998685
7.08309162,161.572036057856
7.09309062,143.824604992159
7.10308962,138.410656097125
7.11308862,150.586599568218
7.12308762,165.226125247018
7.13308662,157.662011070862
7.14308562,154.899937510092
7.15308462,160.671645307992
7.16308362,162.764589985713
7.17308262,161.458033816237
7.18308162,181.997133331008
7.19308062,189.202422366943
7.20307962,197.645927382764
7.21307862,186.490237351812
7.22307762,199.573064956062
7.23307662,206.200256111557
7.24307562,212.292860240017
7.25307462,224.648541702712
7.26307362,239.246496545508
7.27307262,252.910467553171
7.28307162,254.178250904732
7.29307062,248.389471930676
7.30306962,249.720628317701
7.31306862,279.505397131674
7.32306762,309.14305717997
7.33306662,317.024913623858
7.34306562,316.479116496955
7.35306462,327.354151752963
7.36306362,319.951365987677
7.37306262,330.526227818939
7.38306162,345.739384680375
7.39306062,373.90606104926
7.40305962,375.165387606484
7.41305862,367.232346418543
7.42305762,375.149985018254
7.43305662,382.563212825468
7.44305562,391.642538713603
7.45305462,411.833497041227
7.46305362,430.452643347601
7.47305262,431.53768583567
7.48305162,427.795196902456
7.49305062,452.086488587281
7.50304962,451.936441494234
7.51304862,440.438991710776
7.52304762,464.448149488476
7.53304662,457.908213283923
7.54304562,428.540599524634
7.55304462,447.636151575442
7.56304362,475.761271033719
7.57304262,474.144486051409
7.58304162,465.870400553127
7.59304062,440.511131052277
7.60303962,451.248708845026
7.61303862,467.443666448501
7.62303762,451.691503114213
7.63303662,458.180119100944
7.64303562,455.523413272048
7.65303462,422.124500304784
7.66303362,452.362316450734
7.67303262,460.600606029082
7.68303162,442.847426146058
7.69303062,435.069795815552
7.70302962,430.133532929379
7.71302862,437.25865160392
7.72302762,435.80084435337
7.73302662,421.721202115964
7.74302562,404.532986081999
7.75302462,405.698047003393
7.76302362,412.810952597654
7.77302262,398.921968442539
7.78302162,398.520390576464
7.79302062,398.811055496714
7.80301962,382.951459496411
7.81301862,359.807947562277
7.82301762,350.602251812698
7.83301662,349.379258063774
7.84301562,339.192535354888
7.85301462,351.098002193815
7.86301362,351.51768191151
7.87301262,350.195373293449
7.88301162,327.582649973809
7.89301062,318.449972997914
7.90300962,315.191851162409
7.91300862,306.285559210056
7.92300762,308.050364782163
7.93300662,302.197108973528
7.94300562,304.752482859523
7.95300462,305.919123744204
7.96300362,299.409091154429
7.97300262,309.711223354499
7.98300162,313.803483800788
7.99300062,308.586870133913
8.00299962,297.797880440846
8.01299862,332.091668094924
8.02299762,342.851154804035
8.03299662,317.952950702824
8.04299562,327.313958678429
8.05299462,341.305890110563
8.06299362,330.758903900765
8.07299262,300.648698244429
8.08299162,285.759239855789
8.09299062,293.30434913433
8.10298962,282.447339520772
