en,counts
0.0087991199999998,657514
0.0187981199999999,585954
0.0287971199999999,453232
0.0387961199999999,289245
0.0487951199999999,132097
0.0587941199999999,4825
0.0687931199999999,0
0.0787921199999999,0
0.0887911199999999,0
0.0987901199999999,0
0.10878912,0
0.11878812,0
0.12878712,0
0.13878612,0
0.14878512,0
0.15878412,0
0.16878312,0
0.17878212,0
0.18878112,10
0.19878012,0
0.20877912,2
0.21877812,0
0.22877712,4
0.23877612,1
0.24877512,4
0.25877412,4
0.26877312,4
0.27877212,0
0.28877112,1
0.29877012,2
0.30876912,0
0.31876812,0
0.32876712,0
0.33876612,0
0.34876512,0
0.35876412,0
0.36876312,352
0.37876212,319
0.38876112,334
0.39876012,335
0.40875912,320
0.41875812,325
0.42875712,286
0.43875612,322
0.44875512,324
0.45875412,336
0.46875312,339
0.47875212,319
0.48875112,327
0.49875012,323
0.50874912,294
0.51874812,333
0.52874712,283
0.53874612,278
0.54874512,289
0.55874412,310
0.56874312,274
0.57874212,282
0.58874112,303
0.59874012,253
0.60873912,284
0.61873812,233
0.62873712,253
0.63873612,243
0.64873512,223
0.65873412,218
0.66873312,216
0.67873212,199
0.68873112,231
0.69873012,225
0.70872912,212
0.71872812,215
0.72872712,220
0.73872612,211
0.74872512,184
0.75872412,227
0.76872312,219
0.77872212,197
0.78872112,218
0.79872012,182
0.80871912,186
0.81871812,189
0.82871712,181
0.83871612,176
0.84871512,184
0.85871412,187
0.86871312,177
0.87871212,190
0.88871112,176
0.89871012,181
0.90870912,154
0.91870812,161
0.92870712,148
0.93870612,146
0.94870512,139
0.95870412,168
0.96870312,150
0.97870212,131
0.98870112,157
0.99870012,151
1.00869912,137
1.01869812,135
1.02869712,146
1.03869612,127
1.04869512,164
1.05869412,150
1.06869312,151
1.07869212,140
1.08869112,131
1.09869012,93
1.10868912,95
1.11868812,124
1.12868712,135
1.13868612,122
1.14868512,114
1.15868412,126
1.16868312,120
1.17868212,88
1.18868112,100
1.19868012,99
1.20867912,111
1.21867812,106
1.22867712,93
1.23867612,82
1.24867512,88
1.25867412,106
1.26867312,95
1.27867212,97
1.28867112,85
1.29867012,74
1.30866912,84
1.31866812,92
1.32866712,81
1.33866612,75
1.34866512,62
1.35866412,51
1.36866312,58
1.37866212,69
1.38866112,59
1.39866012,69
1.40865912,76
1.41865812,52
1.42865712,47
1.43865612,54
1.44865512,48
1.45865412,66
1.46865312,71
1.47865212,81
1.48865112,76
1.49865012,69
1.50864912,55
1.51864812,43
1.52864712,55
1.53864612,43
1.54864512,40
1.55864412,33
1.56864312,30
1.57864212,20
1.58864112,26
1.59864012,13
1.60863912,17
1.61863812,21
1.62863712,12
1.63863612,17
1.64863512,5
1.65863412,31
1.66863312,38
1.67863212,21
1.68863112,23
1.69863012,22
1.70862912,20
1.71862812,34
1.72862712,34
1.73862612,25
1.74862512,25
1.75862412,41
1.76862312,6
1.77862212,23
1.78862112,31
1.79862012,20
1.80861912,21
1.81861812,4
1.82861712,18
1.83861612,18
1.84861512,21
1.85861412,40
1.86861312,14
1.87861212,16
1.88861112,40
1.89861012,21
1.90860912,27
1.91860812,10
1.92860712,14
1.93860612,4
1.94860512,15
1.95860412,20
1.96860312,0
1.97860212,13
1.98860112,14
1.99860012,0
2.00859912,22
2.01859812,23
2.02859712,21
2.03859612,13
2.04859512,7
2.05859412,6
2.06859312,0
2.07859212,4
2.08859112,15
2.09859012,22
2.10858912,6
2.11858812,0
2.12858712,15
2.13858612,8
2.14858512,1
2.15858412,14
2.16858312,19
2.17858212,16
2.18858112,2
2.19858012,1
2.20857912,0
2.21857812,0
2.22857712,3
2.23857612,0
2.24857512,8
2.25857412,15
2.26857312,10
2.27857212,11
2.28857112,18
2.29857012,12
2.30856912,12
2.31856812,21
2.32856712,15
2.33856612,5
2.34856512,7
2.35856412,0
2.36856312,0
2.37856212,1
2.38856112,0
2.39856012,9
2.40855912,13
2.41855812,7
2.42855712,0
2.43855612,10
2.44855512,13
2.45855412,4
2.46855312,0
2.47855212,0
2.48855112,0
2.49855012,0
2.50854912,3
2.51854812,19
2.52854712,55
2.53854612,114
2.54854512,220
2.55854412,329
2.56854312,409
2.57854212,508
2.58854112,670
2.59854012,831
2.60853912,922
2.61853812,977
2.62853712,1056
2.63853612,1092
2.64853512,1068
2.65853412,1061
2.66853312,1010
2.67853212,903
2.68853112,845
2.69853012,789
2.70852912,682
2.71852812,613
2.72852712,545
2.73852612,494
2.74852512,437
2.75852412,432
2.76852312,414
2.77852212,412
2.78852112,408
2.79852012,426
2.80851912,435
2.81851812,469
2.82851712,514
2.83851612,513
2.84851512,498
2.85851412,480
2.86851312,496
2.87851212,484
2.88851112,448
2.89851012,471
2.90850912,561
2.91850812,643
2.92850712,735
2.93850612,789
2.94850512,921
2.95850412,951
2.96850312,1059
2.97850212,1155
2.98850112,1103
2.99850012,1043
3.00849912,930
3.01849812,812
3.02849712,790
3.03849612,709
3.04849512,632
3.05849412,617
3.06849312,629
3.07849212,662
3.08849112,796
3.09849012,925
3.10848912,1048
3.11848812,1180
3.12848712,1266
3.13848612,1283
3.14848512,1265
3.15848412,1231
3.16848312,1158
3.17848212,1050
3.18848112,881
3.19848012,736
3.20847912,647
3.21847812,513
3.22847712,406
3.23847612,380
3.24847512,360
3.25847412,345
3.26847312,395
3.27847212,457
3.28847112,495
3.29847012,539
3.30846912,536
3.31846812,588
3.32846712,602
3.33846612,551
3.34846512,554
3.35846412,525
3.36846312,441
3.37846212,411
3.38846112,365
3.39846012,309
3.40845912,238
3.41845812,170
3.42845712,120
3.43845612,97
3.44845512,80
3.45845412,79
3.46845312,54
3.47845212,30
3.48845112,52
3.49845012,60
3.50844912,60
